name,href,amt,stemmeberettigede,stemmeprocent,optalte_stemmer,counselor_count,year,corrected_name,normalized_name,post_merger_kommune
Sydthy,k464785.htm,Viborg Amt,8719.0,85.26,7434.0,19,2001,Sydthy,Sydthy,Thisted
Thisted,k464787.htm,Viborg Amt,22211.0,86.34,19178.0,21,2001,Thisted,Thisted,Thisted
Hanstholm,k464765.htm,Viborg Amt,4444.0,83.39,3706.0,13,2001,Hanstholm,Hanstholm,Thisted
Aars,k475861.htm,Nordjyllands Amt,9931.0,85.68,8509.0,19,2001,Aars,Aars,Vesthimmerland
Farsø,k475809.htm,Nordjyllands Amt,6140.0,86.43,5307.0,15,2001,Farsø,Farsø,Vesthimmerland
Fjerritslev,k475811.htm,Nordjyllands Amt,6357.0,84.45,5369.0,17,2001,Fjerritslev,Fjerritslev,Jammerbugt
Nørager,k475833.htm,Nordjyllands Amt,4095.0,86.27,3533.0,13,2001,Nørager,Nørager,Rebild
Brovst,k475803.htm,Nordjyllands Amt,6400.0,85.09,5446.0,17,2001,Brovst,Brovst,Jammerbugt
Hobro,k475823.htm,Nordjyllands Amt,11640.0,85.52,9955.0,15,2001,Hobro,Hobro,Mariagerfjord
Arden,k475801.htm,Nordjyllands Amt,6214.0,87.17,5417.0,15,2001,Arden,Arden,Mariagerfjord
Hadsund,k475815.htm,Nordjyllands Amt,8342.0,85.59,7140.0,17,2001,Hadsund,Hadsund,Mariagerfjord
Støvring,k475845.htm,Nordjyllands Amt,9336.0,87.79,8197.0,19,2001,Støvring,Støvring,Rebild
Nibe,k475831.htm,Nordjyllands Amt,6072.0,88.12,5351.0,17,2001,Nibe,Nibe,Aalborg
Skørping,k475843.htm,Nordjyllands Amt,7357.0,88.26,6494.0,17,2001,Skørping,Skørping,Rebild
Pandrup,k475835.htm,Nordjyllands Amt,8247.0,85.17,7024.0,17,2001,Pandrup,Pandrup,Jammerbugt
Løkken-Vrå,k475829.htm,Nordjyllands Amt,6815.0,85.54,5830.0,17,2001,Løkken-Vrå,Løkken-Vrå,Hjørring
Aabybro,k475849.htm,Nordjyllands Amt,8463.0,88.94,7527.0,17,2001,Aabybro,Aabybro,Jammerbugt
Hjørring,k475821.htm,Nordjyllands Amt,27331.0,84.08,22982.0,21,2001,Hjørring,Hjørring,Hjørring
Hirtshals,k475819.htm,Nordjyllands Amt,10947.0,82.31,9011.0,19,2001,Hirtshals,Hirtshals,Hjørring
Skagen,k475841.htm,Nordjyllands Amt,9826.0,81.98,8056.0,17,2001,Skagen,Skagen,Frederikshavn
Frederikshavn,k475813.htm,Nordjyllands Amt,26835.0,83.52,22415.0,21,2001,Frederikshavn,Frederikshavn,Frederikshavn
Sindal,k475839.htm,Nordjyllands Amt,6979.0,85.62,5976.0,17,2001,Sindal,Sindal,Hjørring
Brønderslev,k475805.htm,Nordjyllands Amt,15411.0,86.18,13282.0,21,2001,Brønderslev,Brønderslev,Brønderslev-Dronninglund
Sæby,k475847.htm,Nordjyllands Amt,13820.0,84.18,11635.0,21,2001,Sæby,Sæby,Frederikshavn
Dronninglund,k475807.htm,Nordjyllands Amt,11523.0,87.49,10082.0,21,2001,Dronninglund,Dronninglund,Brønderslev-Dronninglund
Hals,k475817.htm,Nordjyllands Amt,8555.0,88.06,7534.0,17,2001,Hals,Hals,Aalborg
Sejlflod,k475837.htm,Nordjyllands Amt,6943.0,87.08,6046.0,17,2001,Sejlflod,Sejlflod,Aalborg
Aalborg,k475851.htm,Nordjyllands Amt,129183.0,83.0,107230.0,31,2001,Aalborg,Aalborg,Aalborg
Rønne,,Bornholms Amt,,,,21,2001,Bornholm,Bornholm,Bornholm
Bredebro,,Sønderjyllands Amt,,,,13,2001,Bredebro,Bredebro,Tønder
Rougsø,,Århus Amt,,,,15,2001,Rougsø,Rougsø,Norddjurs
Stenlille,,Vestsjællands Amt,,,,13,2001,Stenlille,Stenlille,Sorø
Ullerslev,,Fyns Amt,,,,13,2001,Ullerslev,Ullerslev,Nyborg
Løgstør,,Nordjyllands Amt,,,,19,2001,Løgstør,Løgstør,Vesthimmerland
Thyborøn-Harboøre,,Ringkøbing Amt,,,,13,2001,Thyborøn-Harboøre,Thyborøn-Harboøre,Lemvig
Sydfalster,,Storstrøms Amt,,,,15,2001,Sydfalster,Sydfalster,Guldborgsund
Jelling,,Vejle Amt,,,,13,2001,Jelling,Jelling,Vejle
Langeskov,,Fyns Amt,,,,13,2001,Langeskov,Langeskov,Kerteminde
Nykøbing-Rørvig,,Vestsjællands Amt,,,,15,2001,Nykøbing-Rørvig,Nykøbing-Rørvig,Odsherred
Ørbæk,,Fyns Amt,,,,15,2001,Ørbæk,Ørbæk,Nyborg
Holmsland,,Ringkøbing Amt,,,,11,2001,Holmsland,Holmsland,Ringkøbing-Skjern
Broby,,Fyns Amt,,,,15,2001,Broby,Broby,Faaborg-Midtfyn
Aulum-Haderup,,Ringkøbing Amt,,,,15,2001,Aulum-Haderup,Aulum-Haderup,Herning
Lunderskov,,Vejle Amt,,,,13,2001,Lunderskov,Lunderskov,Kolding
Læsø,,Nordjyllands Amt,,,,9,2001,Læsø,Læsø,Læsø
Fanø,,Ribe Amt,,,,11,2001,Fanø,Fanø,Fanø
