name,href,amt,stemmeberettigede,stemmeprocent,optalte_stemmer,counselor_count,year,merged,merged_municipalities
Herlev,k389163.htm,Københavns Amt,21081,17824,17824,19,2001,,
Ishøj,k389183.htm,Københavns Amt,15306,12634,12634,17,2001,,
Høje-Taastrup,k389169.htm,Københavns Amt,34708,29442,29442,21,2001,,
Vallensbæk,k389187.htm,Københavns Amt,9448,8438,8438,15,2001,,
Brøndby,k389153.htm,Københavns Amt,26317,21669,21669,19,2001,,
Hvidovre,k389167.htm,Københavns Amt,38392,32263,32263,21,2001,,
Ledøje-Smørum,k389171.htm,Københavns Amt,7507,6873,6873,15,2001,,
Albertslund,k389165.htm,Københavns Amt,21424,18208,18208,21,2001,,
Glostrup,k389161.htm,Københavns Amt,16288,13971,13971,17,2001,,
Rødovre,k389175.htm,Københavns Amt,28792,24331,24331,19,2001,,
Ballerup,k389151.htm,Københavns Amt,35672,31147,31147,25,2001,,
Værløse,k389189.htm,Københavns Amt,13653,12530,12530,15,2001,,
Gladsaxe,k389159.htm,Københavns Amt,47701,40719,40719,25,2001,,
Søllerød,k389181.htm,Københavns Amt,24283,21793,21793,15,2001,,
Lyngby-Taarbæk,k389173.htm,Københavns Amt,40534,34862,34862,21,2001,,
Gentofte,k389157.htm,Københavns Amt,52627,45161,45161,17,2001,,
Frederiksberg Kommune (Udenfor amtsinddeling),k030147.htm,Københavns Amt,76670,63308,63308,25,2001,,
Københavns Kommune (Udenfor amtsinddeling),k025101.htm,Københavns Amt,412673,313116,313116,55,2001,,
Tårnby,k389185.htm,Københavns Amt,31168,26535,26535,17,2001,,
Dragør,k389155.htm,Københavns Amt,9997,9059,9059,15,2001,,
Nexø,k429405.htm,Bornholms Amt,6686,5729,5729,13,2001,,
Aakirkeby,k429409.htm,Bornholms Amt,5112,4444,4444,17,2001,,
Allinge-Gudhjem,k429401.htm,Bornholms Amt,6013,5124,5124,13,2001,,
Hasle,k429403.htm,Bornholms Amt,4915,4291,4291,13,2001,,
Ølstykke,k400237.htm,Frederiksborg Amt,10708,9667,9667,15,2001,,
Slangerup,k400233.htm,Frederiksborg Amt,6457,5763,5763,13,2001,,
Frederikssund,k400209.htm,Frederiksborg Amt,13951,12296,12296,15,2001,,
Stenløse,k400235.htm,Frederiksborg Amt,9892,9058,9058,15,2001,,
Allerød,k400201.htm,Frederiksborg Amt,16898,15510,15510,21,2001,,
Farum,k400207.htm,Frederiksborg Amt,13797,12174,12174,19,2001,,
Birkerød,k400205.htm,Frederiksborg Amt,16265,14344,14344,17,2001,,
Hørsholm,k400223.htm,Frederiksborg Amt,18668,16592,16592,15,2001,,
Karlebo,k400227.htm,Frederiksborg Amt,14331,12307,12307,17,2001,,
Fredensborg-Humlebæk,k400208.htm,Frederiksborg Amt,14943,13187,13187,19,2001,,
Helsingør,k400217.htm,Frederiksborg Amt,46894,39262,39262,25,2001,,
Græsted-Gilleleje,k400213.htm,Frederiksborg Amt,16010,13999,13999,19,2001,,
Helsinge,k400215.htm,Frederiksborg Amt,14455,12783,12783,17,2001,,
Hillerød,k400219.htm,Frederiksborg Amt,27979,24542,24542,21,2001,,
Skævinge,k400231.htm,Frederiksborg Amt,4119,3713,3713,11,2001,,
Frederiksværk,k400211.htm,Frederiksborg Amt,15897,13266,13266,15,2001,,
Hundested,k400221.htm,Frederiksborg Amt,7530,6467,6467,11,2001,,
Jægerspris,k400225.htm,Frederiksborg Amt,7287,6423,6423,15,2001,,
Skibby,k400229.htm,Frederiksborg Amt,5055,4475,4475,13,2001,,
Vallø,k401271.htm,Roskilde Amt,8021,7273,7273,15,2001,,
Køge,k401259.htm,Roskilde Amt,30204,26201,26201,21,2001,,
Skovbo,k401267.htm,Roskilde Amt,10319,9329,9329,17,2001,,
Solrød,k401269.htm,Roskilde Amt,15132,13626,13626,15,2001,,
Greve,k401253.htm,Roskilde Amt,36249,31787,31787,21,2001,,
Ramsø,k401263.htm,Roskilde Amt,6779,6262,6262,15,2001,,
Hvalsø,k401257.htm,Roskilde Amt,5602,5095,5095,13,2001,,
Lejre,k401261.htm,Roskilde Amt,6523,6023,6023,15,2001,,
Roskilde,k401265.htm,Roskilde Amt,41765,36245,36245,25,2001,,
Gundsø,k401255.htm,Roskilde Amt,11283,10387,10387,15,2001,,
Bramsnæs,k401251.htm,Roskilde Amt,7082,6426,6426,15,2001,,
Nykøbing F.,k421369.htm,Storstrøms Amt,20437,17370,17370,21,2001,,
Langebæk,k421361.htm,Storstrøms Amt,4846,4354,4354,15,2001,,
Præstø,k421377.htm,Storstrøms Amt,5742,4983,4983,15,2001,,
Vordingborg,k421397.htm,Storstrøms Amt,15956,13714,13714,19,2001,,
Fladså,k421353.htm,Storstrøms Amt,5606,4942,4942,15,2001,,
Stevns,k421389.htm,Storstrøms Amt,8660,7649,7649,17,2001,,
Fakse,k421351.htm,Storstrøms Amt,9551,8172,8172,17,2001,,
Rønnede,k421385.htm,Storstrøms Amt,5279,4744,4744,15,2001,,
Holmegaard,k421357.htm,Storstrøms Amt,5251,4728,4728,13,2001,,
Suså,k421393.htm,Storstrøms Amt,6164,5453,5453,15,2001,,
Næstved,k421373.htm,Storstrøms Amt,37313,31479,31479,21,2001,,
Møn,k421365.htm,Storstrøms Amt,9274,8105,8105,17,2001,,
Stubbekøbing,k421391.htm,Storstrøms Amt,5384,4734,4734,11,2001,,
Nørre Alslev,k421375.htm,Storstrøms Amt,7458,6474,6474,17,2001,,
Sakskøbing,k421387.htm,Storstrøms Amt,7408,6298,6298,17,2001,,
Nysted,k421371.htm,Storstrøms Amt,4368,3860,3860,15,2001,,
Holeby,k421355.htm,Storstrøms Amt,3289,2908,2908,13,2001,,
Maribo,k421363.htm,Storstrøms Amt,8851,7617,7617,21,2001,,
Højreby,k421359.htm,Storstrøms Amt,3252,2814,2814,13,2001,,
Rødby,k421383.htm,Storstrøms Amt,5309,4530,4530,15,2001,,
Rudbjerg,k421381.htm,Storstrøms Amt,2854,2463,2463,13,2001,,
Ravnsborg,k421379.htm,Storstrøms Amt,4563,3878,3878,13,2001,,
Nakskov,k421367.htm,Storstrøms Amt,12184,10177,10177,19,2001,,
Haslev,k405313.htm,Vestsjællands Amt,10940,9530,9530,15,2001,,
Fuglebjerg,k405307.htm,Vestsjællands Amt,4859,4159,4159,15,2001,,
Hashøj,k405311.htm,Vestsjællands Amt,4898,4345,4345,15,2001,,
Skælskør,k405331.htm,Vestsjællands Amt,8996,7773,7773,15,2001,,
Korsør,k405325.htm,Vestsjællands Amt,15997,13565,13565,17,2001,,
Ringsted,k405329.htm,Vestsjællands Amt,22923,19535,19535,21,2001,,
Sorø,k405335.htm,Vestsjællands Amt,11565,10099,10099,17,2001,,
Slagelse,k405333.htm,Vestsjællands Amt,28635,23577,23577,21,2001,,
Gørlev,k405309.htm,Vestsjællands Amt,4932,4303,4303,15,2001,,
Høng,k405319.htm,Vestsjællands Amt,6232,5429,5429,15,2001,,
Dianalund,k405303.htm,Vestsjællands Amt,5509,4627,4627,15,2001,,
Tølløse,k405345.htm,Vestsjællands Amt,7057,6242,6242,15,2001,,
Jernløse,k405321.htm,Vestsjællands Amt,4333,3855,3855,13,2001,,
Tornved,k405341.htm,Vestsjællands Amt,6730,5768,5768,15,2001,,
Hvidebæk,k405317.htm,Vestsjællands Amt,4073,3575,3575,15,2001,,
Kalundborg,k405323.htm,Vestsjællands Amt,15453,13090,13090,19,2001,,
Bjergsted,k405301.htm,Vestsjællands Amt,6085,5130,5130,17,2001,,
Holbæk,k405315.htm,Vestsjællands Amt,26383,22330,22330,21,2001,,
Svinninge,k405339.htm,Vestsjællands Amt,4931,4296,4296,13,2001,,
Dragsholm,k405305.htm,Vestsjællands Amt,10420,9050,9050,21,2001,,
Trundholm,k405343.htm,Vestsjællands Amt,8897,7561,7561,17,2001,,
Kerteminde,k435439.htm,Fyns Amt,8451,7612,7612,17,2001,,
Gudme,k435435.htm,Fyns Amt,4715,4133,4133,15,2001,,
Svendborg,k435479.htm,Fyns Amt,33561,28760,28760,21,2001,,
Egebjerg,k435427.htm,Fyns Amt,6673,5950,5950,17,2001,,
Faaborg,k435431.htm,Fyns Amt,13490,11770,11770,21,2001,,
Ryslinge,k435477.htm,Fyns Amt,5318,4618,4618,15,2001,,
Ringe,k435473.htm,Fyns Amt,8514,7464,7464,19,2001,,
Nyborg,k435449.htm,Fyns Amt,14773,12436,12436,17,2001,,
Årslev,k435497.htm,Fyns Amt,6676,6026,6026,15,2001,,
Haarby,k435437.htm,Fyns Amt,3813,3327,3327,13,2001,,
Tommerup,k435485.htm,Fyns Amt,5772,5100,5100,15,2001,,
Glamsbjerg,k435433.htm,Fyns Amt,4463,3909,3909,13,2001,,
Assens,k435421.htm,Fyns Amt,8409,7143,7143,15,2001,,
Odense,k435461.htm,Fyns Amt,144939,118914,118914,29,2001,,
Munkebo,k435447.htm,Fyns Amt,4376,3743,3743,13,2001,,
Otterup,k435471.htm,Fyns Amt,8360,7403,7403,17,2001,,
Søndersø,k435483.htm,Fyns Amt,8425,7521,7521,15,2001,,
