name,href,amt,stemmeberettigede,stemmeprocent,optalte_stemmer,counselor_count,year
Kerteminde,k435439.htm,Fyns Amt,8451,90.07,7612,17,2001
Gudme,k435435.htm,Fyns Amt,4715,87.65,4133,15,2001
Svendborg,k435479.htm,Fyns Amt,33561,85.69,28760,21,2001
Egebjerg,k435427.htm,Fyns Amt,6673,89.16,5950,17,2001
Faaborg,k435431.htm,Fyns Amt,13490,87.24,11770,21,2001
Ryslinge,k435477.htm,Fyns Amt,5318,86.83,4618,15,2001
Ringe,k435473.htm,Fyns Amt,8514,87.66,7464,19,2001
Nyborg,k435449.htm,Fyns Amt,14773,84.18,12436,17,2001
Årslev,k435497.htm,Fyns Amt,6676,90.26,6026,15,2001
Haarby,k435437.htm,Fyns Amt,3813,87.25,3327,13,2001
Tommerup,k435485.htm,Fyns Amt,5772,88.35,5100,15,2001
Glamsbjerg,k435433.htm,Fyns Amt,4463,87.58,3909,13,2001
Assens,k435421.htm,Fyns Amt,8409,84.94,7143,15,2001
Odense,k435461.htm,Fyns Amt,144939,82.04,118914,29,2001
Munkebo,k435447.htm,Fyns Amt,4376,85.53,3743,13,2001
Otterup,k435471.htm,Fyns Amt,8360,88.55,7403,17,2001
Søndersø,k435483.htm,Fyns Amt,8425,89.27,7521,15,2001
Vissenbjerg,k435491.htm,Fyns Amt,4622,88.66,4098,13,2001
Aarup,k435499.htm,Fyns Amt,4001,87.47,3500,15,2001
Bogense,k435423.htm,Fyns Amt,4931,87.00,4290,15,2001
Ejby,k435429.htm,Fyns Amt,7555,87.59,6618,17,2001
Nørre Aaby,k435451.htm,Fyns Amt,4003,88.35,3537,15,2001
Middelfart,k435445.htm,Fyns Amt,15397,88.14,13572,19,2001
Ærøskøbing,k435493.htm,Fyns Amt,3170,84.25,2671,13,2001
Marstal,k435443.htm,Fyns Amt,2664,85.13,2268,11,2001
Tranekær,k435487.htm,Fyns Amt,2882,85.87,2475,11,2001
Rudkøbing,k435475.htm,Fyns Amt,5371,84.77,4553,17,2001
Sydlangeland,k435481.htm,Fyns Amt,3412,85.60,2921,13,2001
Ry,k444737.htm,Århus Amt,7717,90.95,7019,15,2001
Them,k444749.htm,Århus Amt,5030,86.64,4358,11,2001
Silkeborg,k444743.htm,Århus Amt,40584,87.41,35475,21,2001
Gjern,k444705.htm,Århus Amt,5748,88.69,5098,15,2001
Hammel,k444711.htm,Århus Amt,7962,90.06,7171,15,2001
Langå,k444717.htm,Århus Amt,6123,89.56,5484,17,2001
Purhus,k444729.htm,Århus Amt,6337,89.08,5645,15,2001
Mariager,k444719.htm,Århus Amt,6325,85.64,5417,15,2001
Randers,k444731.htm,Århus Amt,49469,83.18,41150,25,2001
Hadsten,k444709.htm,Århus Amt,8466,88.56,7498,17,2001
Hinnerup,k444713.htm,Århus Amt,8231,92.38,7604,17,2001
Galten,k444703.htm,Århus Amt,7736,91.42,7073,15,2001
Skanderborg,k444745.htm,Århus Amt,15983,87.06,13916,19,2001
Hørning,k444715.htm,Århus Amt,6155,90.72,5584,13,2001
Odder,k444727.htm,Århus Amt,15435,88.17,13610,19,2001
Nørhald,k444723.htm,Århus Amt,6450,88.54,5711,15,2001
Sønderhald,k444747.htm,Århus Amt,6224,88.88,5532,15,2001
Rosenholm,k444733.htm,Århus Amt,7563,87.71,6634,15,2001
Nørre Djurs,k444725.htm,Århus Amt,5883,85.58,5035,15,2001
Grenaa,k444707.htm,Århus Amt,14624,84.13,12304,19,2001
Midtdjurs,k444721.htm,Århus Amt,5800,87.29,5063,15,2001
Rønde,k444739.htm,Århus Amt,5075,89.24,4529,13,2001
Ebeltoft,k444701.htm,Århus Amt,11579,85.37,9886,19,2001
Samsø,k444741.htm,Århus Amt,3386,86.20,2919,13,2001
Århus,k444751.htm,Århus Amt,226719,85.13,193012,31,2001
Fredericia,k442607.htm,Vejle Amt,37496,84.35,31631,21,2001
Kolding,k442621.htm,Vejle Amt,48390,84.39,40837,25,2001
Juelsminde,k442619.htm,Vejle Amt,11659,89.41,10425,19,2001
Hedensted,k442613.htm,Vejle Amt,11943,89.29,10665,19,2001
Børkop,k442603.htm,Vejle Amt,8249,86.72,7154,15,2001
Vejle,k442631.htm,Vejle Amt,43035,85.34,36729,25,2001
Tørring-Uldum,k442627.htm,Vejle Amt,9087,89.03,8091,19,2001
Vamdrup,k442629.htm,Vejle Amt,5315,87.18,4634,15,2001
Egtved,k442605.htm,Vejle Amt,11164,88.74,9907,19,2001
Horsens,k442615.htm,Vejle Amt,44537,85.32,38001,25,2001
Gedved,k442609.htm,Vejle Amt,7345,89.44,6570,15,2001
Brædstrup,k442601.htm,Vejle Amt,6440,87.67,5646,15,2001
Give,k442611.htm,Vejle Amt,10416,87.11,9074,17,2001
Nørre-Snede,k442625.htm,Vejle Amt,5451,85.70,4672,17,2001
Norborg,k436523.htm,Sønderjyllands Amt,10877,87.69,9539,17,2001
Augustenborg,k436501.htm,Sønderjyllands Amt,4850,89.75,4353,13,2001
Sydals,k436535.htm,Sønderjyllands Amt,4894,88.53,4333,13,2001
Sønderborg,k436537.htm,Sønderjyllands Amt,23644,83.45,19731,21,2001
Sundeved,k436533.htm,Sønderjyllands Amt,3785,88.95,3367,13,2001
Broager,k436507.htm,Sønderjyllands Amt,4655,88.54,4122,11,2001
Gråsten,k436513.htm,Sønderjyllands Amt,5507,86.07,4740,13,2001
Aabenraa,k436545.htm,Sønderjyllands Amt,17244,85.43,14732,21,2001
Lundtoft,k436519.htm,Sønderjyllands Amt,4546,85.92,3906,13,2001
Bov,k436503.htm,Sønderjyllands Amt,7846,82.09,6441,17,2001
Rødekro,k436529.htm,Sønderjyllands Amt,8365,88.73,7423,17,2001
Tinglev,k436539.htm,Sønderjyllands Amt,7576,84.14,6375,17,2001
Haderslev,k436515.htm,Sønderjyllands Amt,24500,85.60,20973,21,2001
Christiansfeld,k436509.htm,Sønderjyllands Amt,7092,87.09,6177,17,2001
Vojens,k436543.htm,Sønderjyllands Amt,12663,88.63,11224,21,2001
Nørre-Rangstrup,k436525.htm,Sønderjyllands Amt,7157,87.15,6238,17,2001
Løgumkloster,k436521.htm,Sønderjyllands Amt,5212,85.39,4451,15,2001
Gram,k436511.htm,Sønderjyllands Amt,3759,86.08,3236,13,2001
Rødding,k436527.htm,Sønderjyllands Amt,8169,87.64,7160,19,2001
Tønder,k436541.htm,Sønderjyllands Amt,9713,84.52,8210,21,2001
Højer,k436517.htm,Sønderjyllands Amt,2309,86.48,1997,13,2001
Skærbæk,k436531.htm,Sønderjyllands Amt,5621,83.57,4698,17,2001
Ribe,k441571.htm,Ribe Amt,13624,86.96,11848,21,2001
Bramming,k441557.htm,Ribe Amt,9890,86.99,8604,17,2001
Esbjerg,k441561.htm,Ribe Amt,63605,83.88,53353,25,2001
Vejen,k441575.htm,Ribe Amt,12493,86.73,10836,21,2001
Brørup,k441559.htm,Ribe Amt,4845,86.19,4176,13,2001
Holsted,k441569.htm,Ribe Amt,5181,87.68,4543,15,2001
Helle,k441567.htm,Ribe Amt,6050,88.87,5377,15,2001
Billund,k441551.htm,Ribe Amt,6381,87.76,5600,13,2001
Varde,k441573.htm,Ribe Amt,15363,86.89,13350,17,2001
Grindsted,k441565.htm,Ribe Amt,13079,85.85,11229,19,2001
Ølgod,k441577.htm,Ribe Amt,8346,87.58,7310,17,2001
Blaabjerg,k441553.htm,Ribe Amt,4767,87.45,4169,11,2001
Blåvandshuk,k441555.htm,Ribe Amt,3181,89.09,2834,13,2001
Thyholm,k443675.htm,Ringkøbing Amt,2766,88.39,2445,11,2001
Vinderup,k443683.htm,Ringkøbing Amt,6083,87.73,5337,17,2001
Holstebro,k443661.htm,Ringkøbing Amt,31155,87.53,27271,21,2001
Struer,k443671.htm,Ringkøbing Amt,14653,87.31,12794,19,2001
Ikast,k443663.htm,Ringkøbing Amt,17174,87.78,15076,17,2001
