"Gruppe";"KommuneNr";"KV2009 - Stemmeberettigede";"KV2009 - Afgivne stemmer"
"101005";"101";"427940";"232906"
"147003";"147";"78915";"50686"
"151005";"151";"36540";"23425"
"153001";"153";"26221";"15252"
"155001";"155";"10355";"7524"
"157007";"157";"52776";"34975"
"159004";"159";"48609";"30490"
"161006";"161";"16828";"10198"
"163001";"163";"20603";"13105"
"165004";"165";"20702";"12554"
"167007";"167";"38222";"22442"
"169004";"169";"36094";"23273"
"173005";"173";"40361";"27523"
"175009";"175";"28210";"17041"
"183005";"183";"15478";"9328"
"185006";"185";"31364";"19031"
"187001";"187";"10450";"7314"
"190004";"190";"28239";"21120"
"201002";"201";"17501";"13403"
"210009";"210";"29415";"19942"
"217008";"217";"47024";"31682"
"219012";"219";"35248";"25110"
"223005";"223";"18566";"13367"
"230014";"230";"40555";"28815"
"240008";"240";"30189";"22248"
"250001";"250";"33639";"22582"
"253003";"253";"35997";"24133"
"259005";"259";"42918";"29605"
"260002";"260";"24296";"15670"
"265016";"265";"62436";"42270"
"269002";"269";"15500";"10544"
"270001";"270";"31417";"21725"
"306004";"306";"26514";"18190"
"316019";"316";"52919";"35301"
"320003";"320";"27074";"18290"
"326001";"326";"38119";"24707"
"329011";"329";"24735";"16206"
"330017";"330";"60271";"38982"
"336002";"336";"17105";"12140"
"340008";"340";"22413";"15278"
"350001";"350";"20042";"14470"
"360013";"360";"38136";"24564"
"370011";"370";"62706";"40456"
"376010";"376";"50509";"33907"
"390016";"390";"36549";"25257"
"400003";"400";"33754";"24339"
"410004";"410";"28646";"19837"
"420001";"420";"31878";"22112"
"430014";"430";"40084";"29254"
"440001";"440";"18252";"13356"
"450013";"450";"24644";"17993"
"461020";"461";"148899";"97947"
"479023";"479";"46199";"32472"
"480001";"480";"22597";"16093"
"482006";"482";"11179";"8098"
"492003";"492";"5567";"4481"
"510002";"510";"43328";"30159"
"530003";"530";"19889";"13472"
"540008";"540";"59084";"40937"
"550012";"550";"30651";"20880"
"561038";"561";"89115";"54609"
"563001";"563";"2580";"2093"
"573026";"573";"38183";"25272"
"575004";"575";"32040";"21541"
"580010";"580";"46140";"30987"
"607006";"607";"38588";"26355"
"615019";"615";"62917";"39201"
"621007";"621";"68218";"46465"
"630019";"630";"80568";"53146"
"657023";"657";"65003";"46216"
"661010";"661";"43551";"32868"
"665006";"665";"16725";"12535"
"671005";"671";"17277";"13006"
"706003";"706";"31759";"21559"
"707009";"707";"29995";"19860"
"710001";"710";"33830";"23852"
"727009";"727";"16404";"11955"
"730030";"730";"73413";"47772"
"740029";"740";"66525";"45605"
"741001";"741";"3251";"2570"
"746003";"746";"41698";"29535"
"751045";"751";"243776";"155178"
"756011";"756";"30324";"21664"
"760015";"760";"43997";"30942"
"766007";"766";"34076";"24239"
"773011";"773";"17023";"12575"
"779002";"779";"37011";"27487"
"787011";"787";"34872";"23814"
"791001";"791";"70669";"47772"
"810074";"810";"27287";"19139"
"813017";"813";"49265";"31620"
"820018";"820";"29111";"20243"
"825015";"825";"1642";"1343"
"840001";"840";"21312";"15760"
"846026";"846";"32768";"22347"
"849013";"849";"29798";"21151"
"851040";"851";"156662";"94484"
"860004";"860";"51668";"33906"
